category,question_text,image_url,answers,correct_index,difficulty
Science,"Какая планета самая большая в Солнечной системе?",,"[""Сатурн"", ""Юпитер"", ""Нептун"", ""Уран""]",1,easy
Science,"Сколько костей в теле взрослого человека?",,"[""196"", ""206"", ""216"", ""226""]",1,medium
Science,"Какой химический элемент имеет символ O?",,"[""Осмий"", ""Кислород"", ""Олово"", ""Организм""]",1,easy
Science,"С какой скоростью распространяется свет в вакууме?",,"[""300,000 км/с"", ""150,000 км/с"", ""450,000 км/с"", ""600,000 км/с""]",0,medium
Science,"Какая самая маленькая частица вещества?",,"[""Атом"", ""Электрон"", ""Кварк"", ""Протон""]",2,hard
Science,"Сколько хромосом у человека?",,"[""44"", ""46"", ""48"", ""50""]",1,medium
Science,"Какая температура кипения воды при нормальном атмосферном давлении?",,"[""90°C"", ""100°C"", ""110°C"", ""120°C""]",1,easy
Science,"Какой газ составляет большую часть атмосферы Земли?",,"[""Кислород"", ""Азот"", ""Углекислый газ"", ""Аргон""]",1,medium
Science,"Какая самая близкая звезда к Земле?",,"[""Альфа Центавра"", ""Солнце"", ""Сириус"", ""Полярная звезда""]",1,easy
Science,"Сколько спутников у Марса?",,"[""1"", ""2"", ""3"", ""4""]",1,hard
Science,"Какой орган человеческого тела самый большой?",,"[""Печень"", ""Кожа"", ""Легкие"", ""Кишечник""]",1,medium
Science,"Какая формула воды?",,"[""H2O"", ""H2O2"", ""CO2"", ""NaCl""]",0,easy
Science,"Сколько планет в Солнечной системе?",,"[""7"", ""8"", ""9"", ""10""]",1,easy
Science,"Какой химический элемент имеет символ Fe?",,"[""Фтор"", ""Железо"", ""Франций"", ""Фермий""]",1,medium
Science,"Какая самая быстрая частица?",,"[""Протон"", ""Нейтрон"", ""Фотон"", ""Электрон""]",2,hard
Science,"Сколько камер в сердце человека?",,"[""2"", ""3"", ""4"", ""5""]",2,medium
Science,"Какая самая твердая природная субстанция на Земле?",,"[""Золото"", ""Алмаз"", ""Платина"", ""Титан""]",1,medium
Science,"Какой газ выделяют растения в процессе фотосинтеза?",,"[""Кислород"", ""Углекислый газ"", ""Азот"", ""Водород""]",0,easy
Science,"Сколько минут в одном градусе?",,"[""50"", ""60"", ""70"", ""80""]",1,hard
Science,"Какая самая большая планета земной группы?",,"[""Меркурий"", ""Венера"", ""Земля"", ""Марс""]",2,medium
Science,"Какой химический элемент имеет атомный номер 1?",,"[""Гелий"", ""Водород"", ""Литий"", ""Бериллий""]",1,easy
Science,"Сколько пар ребер у человека?",,"[""10"", ""12"", ""14"", ""16""]",1,hard
Science,"Какая температура замерзания воды?",,"[""0°C"", ""-1°C"", ""1°C"", ""-2°C""]",0,easy
Science,"Какой газ делает голос выше при вдыхании?",,"[""Кислород"", ""Гелий"", ""Азот"", ""Водород""]",1,medium
Science,"Сколько спутников у Юпитера?",,"[""50+"", ""60+"", ""70+"", ""80+""]",3,hard
Science,"Какая самая маленькая планета в Солнечной системе?",,"[""Марс"", ""Меркурий"", ""Венера"", ""Плутон""]",1,medium
Science,"Какой орган вырабатывает инсулин?",,"[""Печень"", ""Поджелудочная железа"", ""Почки"", ""Селезенка""]",1,medium
Science,"Какая формула углекислого газа?",,"[""CO"", ""CO2"", ""C2O"", ""CO3""]",1,easy
Science,"Сколько костей в черепе взрослого человека?",,"[""20"", ""22"", ""24"", ""26""]",1,hard
Science,"Какая самая горячая планета в Солнечной системе?",,"[""Меркурий"", ""Венера"", ""Марс"", ""Юпитер""]",1,medium
Science,"Какой химический элемент имеет символ Au?",,"[""Алюминий"", ""Золото"", ""Серебро"", ""Аргон""]",1,medium
Science,"Сколько зубов у взрослого человека?",,"[""28"", ""30"", ""32"", ""34""]",2,medium
Science,"Какая самая большая луна в Солнечной системе?",,"[""Луна"", ""Титан"", ""Ганимед"", ""Европа""]",2,hard
Science,"Какой газ составляет 21% атмосферы Земли?",,"[""Азот"", ""Кислород"", ""Аргон"", ""Углекислый газ""]",1,medium
Science,"Сколько мышц в теле человека?",,"[""400+"", ""500+"", ""600+"", ""700+""]",2,hard
Science,"Какая самая холодная планета в Солнечной системе?",,"[""Сатурн"", ""Уран"", ""Нептун"", ""Плутон""]",2,hard
Science,"Какой химический элемент имеет символ Na?",,"[""Неон"", ""Натрий"", ""Никель"", ""Ниобий""]",1,medium
Science,"Сколько камер в желудке коровы?",,"[""2"", ""3"", ""4"", ""5""]",2,hard
Science,"Какая самая быстрая рыба в океане?",,"[""Тунец"", ""Марлин"", ""Парусник"", ""Акула""]",2,hard
Science,"Какой газ используется в воздушных шарах?",,"[""Водород"", ""Гелий"", ""Азот"", ""Кислород""]",1,medium
Science,"Сколько спутников у Сатурна?",,"[""50+"", ""60+"", ""80+"", ""100+""]",2,hard
Science,"Какая самая большая кость в теле человека?",,"[""Плечевая"", ""Бедренная"", ""Большеберцовая"", ""Локтевая""]",1,medium
Science,"Какой химический элемент имеет символ Hg?",,"[""Гелий"", ""Водород"", ""Ртуть"", ""Германий""]",2,medium
Science,"Сколько планет имеют кольца?",,"[""2"", ""3"", ""4"", ""5""]",1,hard
Science,"Какая самая маленькая кость в теле человека?",,"[""Молоточек"", ""Наковальня"", ""Стремечко"", ""Височная""]",2,hard
Science,"Какой газ делает пламя синим?",,"[""Кислород"", ""Водород"", ""Метан"", ""Пропан""]",2,hard
Science,"Сколько спутников у Земли?",,"[""0"", ""1"", ""2"", ""3""]",1,easy
Science,"Какая самая большая железа в теле человека?",,"[""Печень"", ""Поджелудочная"", ""Щитовидная"", ""Гипофиз""]",0,medium
Science,"Какой химический элемент имеет символ Ag?",,"[""Аргон"", ""Серебро"", ""Золото"", ""Алюминий""]",1,medium
Science,"Сколько планет можно увидеть невооруженным глазом?",,"[""3"", ""4"", ""5"", ""6""]",2,hard
Science,"Какая самая быстрая птица в мире?",,"[""Орел"", ""Сокол"", ""Стриж"", ""Сокол-сапсан""]",3,hard
Science,"Какой газ составляет 78% атмосферы Земли?",,"[""Кислород"", ""Азот"", ""Аргон"", ""Углекислый газ""]",1,easy
Science,"Сколько спутников у Урана?",,"[""15+"", ""20+"", ""25+"", ""30+""]",2,hard
Science,"Какая самая большая планета-газовый гигант?",,"[""Сатурн"", ""Юпитер"", ""Нептун"", ""Уран""]",1,medium
Science,"Какой химический элемент имеет символ K?",,"[""Кальций"", ""Калий"", ""Криптон"", ""Кобальт""]",1,medium
Science,"Сколько спутников у Нептуна?",,"[""10+"", ""12+"", ""14+"", ""16+""]",2,hard
Science,"Какая самая большая звезда в нашей галактике?",,"[""Солнце"", ""Бетельгейзе"", ""UY Щита"", ""Сириус""]",2,hard
