category,question_text,image_url,answers,correct_index,difficulty
Sports,"Сколько игроков в футбольной команде на поле одновременно?",,"[""10"", ""11"", ""12"", ""13""]",1,easy
Sports,"В каком виде спорта используется термин ""гейм""?",,"[""Футбол"", ""Теннис"", ""Баскетбол"", ""Волейбол""]",1,medium
Sports,"Какая страна выиграла чемпионат мира по футболу в 2018 году?",,"[""Хорватия"", ""Франция"", ""Бельгия"", ""Англия""]",1,medium
Sports,"Сколько раундов в боксерском поединке на Олимпийских играх?",,"[""2"", ""3"", ""4"", ""5""]",1,hard
Sports,"В каком виде спорта используется термин ""тай-брейк""?",,"[""Теннис"", ""Футбол"", ""Баскетбол"", ""Хоккей""]",0,medium
Sports,"Какая страна выиграла больше всего золотых медалей на Олимпийских играх 2020?",,"[""Китай"", ""США"", ""Япония"", ""Великобритания""]",1,hard
Sports,"Сколько очков нужно набрать для победы в волейбольном сете?",,"[""20"", ""21"", ""25"", ""30""]",2,medium
Sports,"В каком виде спорта используется термин ""страйк""?",,"[""Бейсбол"", ""Боулинг"", ""Оба варианта"", ""Ни один из вариантов""]",2,medium
Sports,"Какая страна выиграла чемпионат мира по футболу в 2014 году?",,"[""Аргентина"", ""Германия"", ""Бразилия"", ""Испания""]",1,medium
Sports,"Сколько игроков в баскетбольной команде на площадке одновременно?",,"[""4"", ""5"", ""6"", ""7""]",1,easy
Sports,"В каком виде спорта используется термин ""эйс""?",,"[""Теннис"", ""Гольф"", ""Волейбол"", ""Бадминтон""]",0,medium
Sports,"Какая страна выиграла больше всего чемпионатов мира по футболу?",,"[""Германия"", ""Бразилия"", ""Аргентина"", ""Италия""]",1,medium
Sports,"Сколько игроков в хоккейной команде на льду одновременно?",,"[""5"", ""6"", ""7"", ""8""]",1,medium
Sports,"В каком виде спорта используется термин ""гол в свои ворота""?",,"[""Футбол"", ""Хоккей"", ""Оба варианта"", ""Ни один из вариантов""]",2,medium
Sports,"Какая страна выиграла чемпионат мира по футболу в 2010 году?",,"[""Испания"", ""Нидерланды"", ""Германия"", ""Уругвай""]",0,medium
Sports,"Сколько сетов нужно выиграть для победы в теннисном матче?",,"[""2"", ""3"", ""4"", ""5""]",1,medium
Sports,"В каком виде спорта используется термин ""дриблинг""?",,"[""Футбол"", ""Баскетбол"", ""Оба варианта"", ""Ни один из вариантов""]",2,medium
Sports,"Какая страна выиграла больше всего золотых медалей на зимних Олимпийских играх?",,"[""Норвегия"", ""США"", ""Германия"", ""Россия""]",0,hard
Sports,"Сколько игроков в команде по регби на поле одновременно?",,"[""13"", ""14"", ""15"", ""16""]",2,hard
Sports,"В каком виде спорта используется термин ""слэм-данк""?",,"[""Баскетбол"", ""Волейбол"", ""Гандбол"", ""Водное поло""]",0,medium
Sports,"Какая страна выиграла чемпионат мира по футболу в 2006 году?",,"[""Франция"", ""Италия"", ""Германия"", ""Испания""]",1,medium
Sports,"Сколько игроков в команде по бейсболу на поле одновременно?",,"[""8"", ""9"", ""10"", ""11""]",1,hard
Sports,"В каком виде спорта используется термин ""подкат""?",,"[""Футбол"", ""Хоккей"", ""Регби"", ""Все вышеперечисленные""]",3,hard
Sports,"Какая страна выиграла больше всего чемпионатов мира по хоккею?",,"[""Канада"", ""Россия"", ""Швеция"", ""Чехия""]",1,hard
Sports,"Сколько игроков в команде по водному поло в бассейне одновременно?",,"[""5"", ""6"", ""7"", ""8""]",2,hard
Sports,"В каком виде спорта используется термин ""буллит""?",,"[""Хоккей"", ""Футбол"", ""Баскетбол"", ""Волейбол""]",0,medium
Sports,"Какая страна выиграла чемпионат мира по футболу в 2002 году?",,"[""Германия"", ""Бразилия"", ""Турция"", ""Южная Корея""]",1,medium
Sports,"Сколько игроков в команде по гандболу на площадке одновременно?",,"[""5"", ""6"", ""7"", ""8""]",2,hard
Sports,"В каком виде спорта используется термин ""олли""?",,"[""Скейтбординг"", ""Сноубординг"", ""Оба варианта"", ""Ни один из вариантов""]",2,hard
Sports,"Какая страна выиграла больше всего золотых медалей на летних Олимпийских играх?",,"[""США"", ""СССР"", ""Китай"", ""Великобритания""]",0,hard
Sports,"Сколько игроков в команде по крикету на поле одновременно?",,"[""10"", ""11"", ""12"", ""13""]",1,hard
Sports,"В каком виде спорта используется термин ""тэкл""?",,"[""Футбол"", ""Регби"", ""Американский футбол"", ""Все вышеперечисленные""]",3,hard
Sports,"Какая страна выиграла чемпионат мира по футболу в 1998 году?",,"[""Бразилия"", ""Франция"", ""Хорватия"", ""Аргентина""]",1,medium
Sports,"Сколько игроков в команде по пляжному волейболу на площадке одновременно?",,"[""1"", ""2"", ""3"", ""4""]",1,medium
Sports,"В каком виде спорта используется термин ""снукер""?",,"[""Бильярд"", ""Гольф"", ""Теннис"", ""Бадминтон""]",0,hard
Sports,"Какая страна выиграла больше всего чемпионатов мира по баскетболу?",,"[""США"", ""Сербия"", ""Испания"", ""Аргентина""]",0,hard
Sports,"Сколько игроков в команде по американскому футболу на поле одновременно?",,"[""10"", ""11"", ""12"", ""13""]",1,hard
Sports,"В каком виде спорта используется термин ""кёрлинг""?",,"[""Кёрлинг"", ""Хоккей"", ""Фигурное катание"", ""Биатлон""]",0,medium
Sports,"Какая страна выиграла чемпионат мира по футболу в 1994 году?",,"[""Италия"", ""Бразилия"", ""Швеция"", ""Болгария""]",1,medium
Sports,"Сколько игроков в команде по лакроссу на поле одновременно?",,"[""8"", ""9"", ""10"", ""11""]",2,hard
Sports,"В каком виде спорта используется термин ""голкипер""?",,"[""Футбол"", ""Хоккей"", ""Водное поло"", ""Все вышеперечисленные""]",3,medium
Sports,"Какая страна выиграла больше всего чемпионатов мира по волейболу среди мужчин?",,"[""Бразилия"", ""Россия"", ""Италия"", ""Польша""]",1,hard
Sports,"Сколько игроков в команде по футзалу на площадке одновременно?",,"[""4"", ""5"", ""6"", ""7""]",1,hard
Sports,"В каком виде спорта используется термин ""слэм""?",,"[""Теннис"", ""Волейбол"", ""Баскетбол"", ""Все вышеперечисленные""]",3,hard
Sports,"Какая страна выиграла чемпионат мира по футболу в 1990 году?",,"[""Аргентина"", ""Германия"", ""Италия"", ""Англия""]",1,medium
Sports,"Сколько игроков в команде по хоккею на траве на поле одновременно?",,"[""10"", ""11"", ""12"", ""13""]",1,hard
Sports,"В каком виде спорта используется термин ""сет""?",,"[""Теннис"", ""Волейбол"", ""Оба варианта"", ""Ни один из вариантов""]",2,medium
Sports,"Какая страна выиграла больше всего чемпионатов мира по регби?",,"[""Новая Зеландия"", ""ЮАР"", ""Австралия"", ""Англия""]",1,hard
