category,question_text,image_url,answers,correct_index,difficulty
Music,"Кто написал симфонию ""Лунная соната""?",,"[""Моцарт"", ""Бетховен"", ""Бах"", ""Шопен""]",1,medium
Music,"В каком году группа The Beatles выпустила альбом ""Abbey Road""?",,"[""1967"", ""1969"", ""1971"", ""1973""]",1,hard
Music,"Кто написал оперу ""Кармен""?",,"[""Джузеппе Верди"", ""Жорж Бизе"", ""Джакомо Пуччини"", ""Вольфганг Амадей Моцарт""]",1,medium
Music,"Сколько струн у стандартной гитары?",,"[""4"", ""5"", ""6"", ""7""]",2,easy
Music,"Кто написал симфонию ""Времена года""?",,"[""Бетховен"", ""Вивальди"", ""Моцарт"", ""Бах""]",1,medium
Music,"В каком году группа Queen выпустила песню ""Bohemian Rhapsody""?",,"[""1973"", ""1975"", ""1977"", ""1979""]",1,hard
Music,"Кто написал оперу ""Волшебная флейта""?",,"[""Бетховен"", ""Моцарт"", ""Бах"", ""Шопен""]",1,medium
Music,"Сколько клавиш у стандартного пианино?",,"[""82"", ""84"", ""86"", ""88""]",3,medium
Music,"Кто написал симфонию ""Неоконченная""?",,"[""Бетховен"", ""Шуберт"", ""Моцарт"", ""Бах""]",1,hard
Music,"В каком году группа Pink Floyd выпустила альбом ""The Dark Side of the Moon""?",,"[""1971"", ""1973"", ""1975"", ""1977""]",1,hard
Music,"Кто написал оперу ""Травиата""?",,"[""Джакомо Пуччини"", ""Джузеппе Верди"", ""Жорж Бизе"", ""Вольфганг Амадей Моцарт""]",1,medium
Music,"Сколько струн у скрипки?",,"[""3"", ""4"", ""5"", ""6""]",1,medium
Music,"Кто написал симфонию ""Пасторальная""?",,"[""Моцарт"", ""Бетховен"", ""Бах"", ""Шопен""]",1,hard
Music,"В каком году группа The Rolling Stones выпустила песню ""(I Can't Get No) Satisfaction""?",,"[""1963"", ""1965"", ""1967"", ""1969""]",1,hard
Music,"Кто написал оперу ""Тоска""?",,"[""Джузеппе Верди"", ""Джакомо Пуччини"", ""Жорж Бизе"", ""Вольфганг Амадей Моцарт""]",1,hard
Music,"Сколько струн у виолончели?",,"[""3"", ""4"", ""5"", ""6""]",1,medium
Music,"Кто написал симфонию ""Реквием""?",,"[""Бетховен"", ""Моцарт"", ""Бах"", ""Шопен""]",1,medium
Music,"В каком году группа Led Zeppelin выпустила альбом ""Led Zeppelin IV""?",,"[""1969"", ""1971"", ""1973"", ""1975""]",1,hard
Music,"Кто написал оперу ""Аида""?",,"[""Джакомо Пуччини"", ""Джузеппе Верди"", ""Жорж Бизе"", ""Вольфганг Амадей Моцарт""]",1,medium
Music,"Сколько струн у контрабаса?",,"[""3"", ""4"", ""5"", ""6""]",1,hard
Music,"Кто написал симфонию ""Симфония №40""?",,"[""Бетховен"", ""Моцарт"", ""Бах"", ""Шопен""]",1,hard
Music,"В каком году группа AC/DC выпустила альбом ""Back in Black""?",,"[""1978"", ""1980"", ""1982"", ""1984""]",1,hard
Music,"Кто написал оперу ""Мадам Баттерфляй""?",,"[""Джузеппе Верди"", ""Джакомо Пуччини"", ""Жорж Бизе"", ""Вольфганг Амадей Моцарт""]",1,hard
Music,"Сколько струн у арфы?",,"[""40"", ""44"", ""46"", ""48""]",2,hard
Music,"Кто написал симфонию ""Симфония №5"" (Бетховен)?",,"[""Моцарт"", ""Бетховен"", ""Бах"", ""Шопен""]",1,medium
Music,"В каком году группа Nirvana выпустила альбом ""Nevermind""?",,"[""1989"", ""1991"", ""1993"", ""1995""]",1,medium
Music,"Кто написал оперу ""Свадьба Фигаро""?",,"[""Бетховен"", ""Моцарт"", ""Бах"", ""Шопен""]",1,medium
Music,"Сколько струн у мандолины?",,"[""6"", ""8"", ""10"", ""12""]",1,hard
Music,"Кто написал симфонию ""Симфония №9"" (Бетховен)?",,"[""Моцарт"", ""Бетховен"", ""Бах"", ""Шопен""]",1,medium
Music,"В каком году группа The Beatles выпустила альбом ""Sgt. Pepper's Lonely Hearts Club Band""?",,"[""1965"", ""1967"", ""1969"", ""1971""]",1,hard
Music,"Кто написал оперу ""Дон Жуан""?",,"[""Бетховен"", ""Моцарт"", ""Бах"", ""Шопен""]",1,hard
Music,"Сколько струн у банджо?",,"[""4"", ""5"", ""6"", ""8""]",1,hard
Music,"Кто написал симфонию ""Симфония №6"" (Чайковский)?",,"[""Римский-Корсаков"", ""Чайковский"", ""Мусоргский"", ""Бородин""]",1,hard
Music,"В каком году группа The Who выпустила альбом ""Who's Next""?",,"[""1969"", ""1971"", ""1973"", ""1975""]",1,hard
Music,"Кто написал оперу ""Евгений Онегин""?",,"[""Римский-Корсаков"", ""Чайковский"", ""Мусоргский"", ""Бородин""]",1,medium
Music,"Сколько струн у укулеле?",,"[""3"", ""4"", ""5"", ""6""]",1,medium
Music,"Кто написал симфонию ""Симфония №1"" (Брамс)?",,"[""Бетховен"", ""Брамс"", ""Моцарт"", ""Бах""]",1,hard
Music,"В каком году группа The Doors выпустила альбом ""The Doors""?",,"[""1965"", ""1967"", ""1969"", ""1971""]",1,hard
Music,"Кто написал оперу ""Пиковая дама""?",,"[""Римский-Корсаков"", ""Чайковский"", ""Мусоргский"", ""Бородин""]",1,hard
Music,"Сколько струн у балалайки?",,"[""2"", ""3"", ""4"", ""5""]",1,hard
Music,"Кто написал симфонию ""Симфония №4"" (Чайковский)?",,"[""Римский-Корсаков"", ""Чайковский"", ""Мусоргский"", ""Бородин""]",1,hard
Music,"В каком году группа The Beatles выпустила альбом ""The White Album""?",,"[""1966"", ""1968"", ""1970"", ""1972""]",1,hard
Music,"Кто написал оперу ""Борис Годунов""?",,"[""Римский-Корсаков"", ""Мусоргский"", ""Чайковский"", ""Бородин""]",1,hard
Music,"Сколько струн у домры?",,"[""2"", ""3"", ""4"", ""5""]",1,hard
Music,"Кто написал симфонию ""Симфония №2"" (Рахманинов)?",,"[""Римский-Корсаков"", ""Рахманинов"", ""Чайковский"", ""Мусоргский""]",1,hard
Music,"В каком году группа The Beatles выпустила альбом ""Revolver""?",,"[""1964"", ""1966"", ""1968"", ""1970""]",1,hard
Music,"Кто написал оперу ""Снегурочка""?",,"[""Римский-Корсаков"", ""Чайковский"", ""Мусоргский"", ""Бородин""]",0,hard
Music,"Сколько струн у гуслей?",,"[""10"", ""12"", ""15"", ""20+""]",3,hard
Music,"Кто написал симфонию ""Симфония №3"" (Бетховен) ""Героическая""?",,"[""Моцарт"", ""Бетховен"", ""Бах"", ""Шопен""]",1,medium
Music,"В каком году группа The Beatles выпустила альбом ""Rubber Soul""?",,"[""1963"", ""1965"", ""1967"", ""1969""]",1,hard
Music,"Кто написал оперу ""Князь Игорь""?",,"[""Римский-Корсаков"", ""Бородин"", ""Чайковский"", ""Мусоргский""]",1,hard
Music,"Сколько струн у цитры?",,"[""20"", ""30"", ""40"", ""50+""]",2,hard
Music,"Кто написал симфонию ""Симфония №7"" (Бетховен)?",,"[""Моцарт"", ""Бетховен"", ""Бах"", ""Шопен""]",1,hard
Music,"В каком году группа The Beatles выпустила альбом ""Help!""?",,"[""1963"", ""1965"", ""1967"", ""1969""]",1,hard
Music,"Кто написал оперу ""Хованщина""?",,"[""Римский-Корсаков"", ""Мусоргский"", ""Чайковский"", ""Бородин""]",1,hard
Music,"Сколько струн у лютни?",,"[""4"", ""6"", ""8"", ""10+""]",3,hard
Music,"Кто написал симфонию ""Симфония №8"" (Бетховен) ""Неоконченная""?",,"[""Бетховен"", ""Шуберт"", ""Моцарт"", ""Бах""]",1,hard
Music,"В каком году группа The Beatles выпустила альбом ""A Hard Day's Night""?",,"[""1962"", ""1964"", ""1966"", ""1968""]",1,hard
Music,"Кто написал оперу ""Садко""?",,"[""Римский-Корсаков"", ""Чайковский"", ""Мусоргский"", ""Бородин""]",0,hard
Music,"Сколько струн у ситара?",,"[""18"", ""20"", ""22"", ""24+""]",2,hard
Music,"Кто написал симфонию ""Симфония №1"" (Чайковский) ""Зимние грезы""?",,"[""Римский-Корсаков"", ""Чайковский"", ""Мусоргский"", ""Бородин""]",1,hard
Music,"В каком году группа The Beatles выпустила альбом ""Please Please Me""?",,"[""1961"", ""1963"", ""1965"", ""1967""]",1,hard
Music,"Кто написал оперу ""Золотой петушок""?",,"[""Римский-Корсаков"", ""Чайковский"", ""Мусоргский"", ""Бородин""]",0,hard
Music,"Сколько струн у кото?",,"[""10"", ""13"", ""17"", ""20+""]",1,hard
