category,question_text,image_url,answers,correct_index,difficulty
Logic,"Если все вороны черные, а эта птица черная, то она ворон. Это пример:",,"[""Дедуктивного рассуждения"", ""Индуктивного рассуждения"", ""Абдуктивного рассуждения"", ""Аналогии""]",0,medium
Logic,"Какое число должно быть следующим: 2, 6, 12, 20, 30, ?",,"[""40"", ""42"", ""44"", ""46""]",1,hard
Logic,"Если A = B, а B = C, то:",,"[""A = C"", ""A ≠ C"", ""Недостаточно информации"", ""A > C""]",0,easy
Logic,"В логике, что означает символ ""→""?",,"[""И"", ""Или"", ""Если...то"", ""Не""]",2,medium
Logic,"Какое число должно быть следующим: 1, 4, 9, 16, 25, ?",,"[""30"", ""36"", ""40"", ""45""]",1,medium
Logic,"Если все люди смертны, а Сократ - человек, то:",,"[""Сократ смертен"", ""Сократ бессмертен"", ""Недостаточно информации"", ""Сократ может быть бессмертным""]",0,medium
Logic,"В логике, что означает символ ""∧""?",,"[""И"", ""Или"", ""Если...то"", ""Не""]",0,hard
Logic,"Какое число должно быть следующим: 1, 1, 2, 3, 5, 8, ?",,"[""11"", ""13"", ""15"", ""17""]",1,medium
Logic,"Если сегодня понедельник, то через 100 дней будет:",,"[""Понедельник"", ""Вторник"", ""Среда"", ""Четверг""]",2,hard
Logic,"В логике, что означает символ ""∨""?",,"[""И"", ""Или"", ""Если...то"", ""Не""]",1,hard
Logic,"Какое число должно быть следующим: 3, 6, 12, 24, 48, ?",,"[""90"", ""96"", ""100"", ""108""]",1,medium
Logic,"Если все коты - животные, а все животные смертны, то:",,"[""Все коты смертны"", ""Некоторые коты бессмертны"", ""Недостаточно информации"", ""Коты могут быть бессмертными""]",0,medium
Logic,"В логике, что означает символ ""¬""?",,"[""И"", ""Или"", ""Если...то"", ""Не""]",3,hard
Logic,"Какое число должно быть следующим: 1, 3, 6, 10, 15, ?",,"[""18"", ""21"", ""24"", ""27""]",1,medium
