category,question_text,image_url,answers,correct_index,difficulty
Literature,"Кто написал роман ""Война и мир""?",,"[""Федор Достоевский"", ""Лев Толстой"", ""Александр Пушкин"", ""Иван Тургенев""]",1,easy
Literature,"Кто написал роман ""Преступление и наказание""?",,"[""Лев Толстой"", ""Федор Достоевский"", ""Александр Пушкин"", ""Иван Тургенев""]",1,medium
Literature,"Кто написал роман ""Мастер и Маргарита""?",,"[""Александр Пушкин"", ""Михаил Булгаков"", ""Лев Толстой"", ""Федор Достоевский""]",1,medium
Literature,"Кто написал роман ""1984""?",,"[""Олдос Хаксли"", ""Джордж Оруэлл"", ""Рэй Брэдбери"", ""Курт Воннегут""]",1,medium
Literature,"Кто написал роман ""Убить пересмешника""?",,"[""Эрнест Хемингуэй"", ""Харпер Ли"", ""Марк Твен"", ""Джон Стейнбек""]",1,medium
Literature,"Кто написал роман ""Великий Гэтсби""?",,"[""Эрнест Хемингуэй"", ""Фрэнсис Скотт Фицджеральд"", ""Марк Твен"", ""Джон Стейнбек""]",1,medium
Literature,"Кто написал роман ""Анна Каренина""?",,"[""Федор Достоевский"", ""Лев Толстой"", ""Александр Пушкин"", ""Иван Тургенев""]",1,medium
Literature,"Кто написал роман ""Гарри Поттер и философский камень""?",,"[""Дж.Р.Р. Толкин"", ""Дж.К. Роулинг"", ""Клайв Стейплз Льюис"", ""Филип Пулман""]",1,easy
Literature,"Кто написал роман ""Властелин колец""?",,"[""Дж.К. Роулинг"", ""Дж.Р.Р. Толкин"", ""Клайв Стейплз Льюис"", ""Филип Пулман""]",1,medium
Literature,"Кто написал роман ""Старик и море""?",,"[""Эрнест Хемингуэй"", ""Марк Твен"", ""Джон Стейнбек"", ""Уильям Фолкнер""]",0,medium
Literature,"Кто написал роман ""Гордость и предубеждение""?",,"[""Шарлотта Бронте"", ""Джейн Остин"", ""Эмили Бронте"", ""Вирджиния Вулф""]",1,medium
Literature,"Кто написал роман ""Дон Кихот""?",,"[""Мигель де Сервантес"", ""Федерико Гарсиа Лорка"", ""Габриэль Гарсиа Маркес"", ""Хорхе Луис Борхес""]",0,hard
Literature,"Кто написал роман ""Сто лет одиночества""?",,"[""Хорхе Луис Борхес"", ""Габриэль Гарсиа Маркес"", ""Пабло Неруда"", ""Марио Варгас Льоса""]",1,medium
Literature,"Кто написал роман ""Моби Дик""?",,"[""Эдгар Аллан По"", ""Герман Мелвилл"", ""Марк Твен"", ""Натаниэль Готорн""]",1,hard
Literature,"Кто написал роман ""Лолита""?",,"[""Иван Тургенев"", ""Владимир Набоков"", ""Александр Пушкин"", ""Федор Достоевский""]",1,medium
Literature,"Кто написал роман ""Франкенштейн""?",,"[""Мэри Шелли"", ""Брэм Стокер"", ""Эдгар Аллан По"", ""Говард Лавкрафт""]",0,medium
Literature,"Кто написал роман ""Дракула""?",,"[""Мэри Шелли"", ""Брэм Стокер"", ""Эдгар Аллан По"", ""Говард Лавкрафт""]",1,medium
Literature,"Кто написал роман ""451 градус по Фаренгейту""?",,"[""Джордж Оруэлл"", ""Рэй Брэдбери"", ""Олдос Хаксли"", ""Курт Воннегут""]",1,medium
Literature,"Кто написал роман ""О дивный новый мир""?",,"[""Джордж Оруэлл"", ""Олдос Хаксли"", ""Рэй Брэдбери"", ""Курт Воннегут""]",1,medium
Literature,"Кто написал роман ""Грозовой перевал""?",,"[""Шарлотта Бронте"", ""Эмили Бронте"", ""Джейн Остин"", ""Вирджиния Вулф""]",1,hard
Literature,"Кто написал роман ""Джейн Эйр""?",,"[""Эмили Бронте"", ""Шарлотта Бронте"", ""Джейн Остин"", ""Вирджиния Вулф""]",1,medium
Literature,"Кто написал роман ""Повелитель мух""?",,"[""Джордж Оруэлл"", ""Уильям Голдинг"", ""Олдос Хаксли"", ""Курт Воннегут""]",1,hard
Literature,"Кто написал роман ""Над пропастью во ржи""?",,"[""Джон Стейнбек"", ""Джером Сэлинджер"", ""Эрнест Хемингуэй"", ""Марк Твен""]",1,medium
Literature,"Кто написал роман ""Гроздья гнева""?",,"[""Эрнест Хемингуэй"", ""Джон Стейнбек"", ""Марк Твен"", ""Уильям Фолкнер""]",1,hard
Literature,"Кто написал роман ""Приключения Гекльберри Финна""?",,"[""Джон Стейнбек"", ""Марк Твен"", ""Эрнест Хемингуэй"", ""Уильям Фолкнер""]",1,medium
Literature,"Кто написал роман ""Улисс""?",,"[""Вирджиния Вулф"", ""Джеймс Джойс"", ""Сэмюэл Беккет"", ""Оскар Уайльд""]",1,hard
Literature,"Кто написал роман ""Миссис Дэллоуэй""?",,"[""Джеймс Джойс"", ""Вирджиния Вулф"", ""Сэмюэл Беккет"", ""Оскар Уайльд""]",1,hard
Literature,"Кто написал роман ""Портрет Дориана Грея""?",,"[""Джеймс Джойс"", ""Оскар Уайльд"", ""Сэмюэл Беккет"", ""Вирджиния Вулф""]",1,medium
Literature,"Кто написал роман ""Алиса в Стране чудес""?",,"[""Льюис Кэрролл"", ""Роальд Даль"", ""Дж.Р.Р. Толкин"", ""Клайв Стейплз Льюис""]",0,medium
Literature,"Кто написал роман ""Чарли и шоколадная фабрика""?",,"[""Льюис Кэрролл"", ""Роальд Даль"", ""Дж.Р.Р. Толкин"", ""Клайв Стейплз Льюис""]",1,medium
Literature,"Кто написал роман ""Хоббит""?",,"[""Дж.К. Роулинг"", ""Дж.Р.Р. Толкин"", ""Клайв Стейплз Льюис"", ""Филип Пулман""]",1,medium
Literature,"Кто написал роман ""Хроники Нарнии""?",,"[""Дж.Р.Р. Толкин"", ""Клайв Стейплз Льюис"", ""Дж.К. Роулинг"", ""Филип Пулман""]",1,medium
Literature,"Кто написал роман ""Братья Карамазовы""?",,"[""Лев Толстой"", ""Федор Достоевский"", ""Александр Пушкин"", ""Иван Тургенев""]",1,medium
Literature,"Кто написал роман ""Евгений Онегин""?",,"[""Лев Толстой"", ""Александр Пушкин"", ""Федор Достоевский"", ""Иван Тургенев""]",1,medium
Literature,"Кто написал роман ""Отцы и дети""?",,"[""Лев Толстой"", ""Иван Тургенев"", ""Александр Пушкин"", ""Федор Достоевский""]",1,hard
Literature,"Кто написал роман ""Идиот""?",,"[""Лев Толстой"", ""Федор Достоевский"", ""Александр Пушкин"", ""Иван Тургенев""]",1,hard
Literature,"Кто написал роман ""Бесы""?",,"[""Лев Толстой"", ""Федор Достоевский"", ""Александр Пушкин"", ""Иван Тургенев""]",1,hard
Literature,"Кто написал роман ""Обломов""?",,"[""Иван Тургенев"", ""Иван Гончаров"", ""Александр Пушкин"", ""Федор Достоевский""]",1,hard
Literature,"Кто написал роман ""Герой нашего времени""?",,"[""Александр Пушкин"", ""Михаил Лермонтов"", ""Иван Тургенев"", ""Федор Достоевский""]",1,hard
Literature,"Кто написал роман ""Мертвые души""?",,"[""Александр Пушкин"", ""Николай Гоголь"", ""Иван Тургенев"", ""Федор Достоевский""]",1,medium
Literature,"Кто написал роман ""Ревизор""?",,"[""Александр Пушкин"", ""Николай Гоголь"", ""Иван Тургенев"", ""Федор Достоевский""]",1,medium
Literature,"Кто написал роман ""Тарас Бульба""?",,"[""Александр Пушкин"", ""Николай Гоголь"", ""Иван Тургенев"", ""Федор Достоевский""]",1,medium
Literature,"Кто написал роман ""Горе от ума""?",,"[""Александр Пушкин"", ""Александр Грибоедов"", ""Иван Тургенев"", ""Федор Достоевский""]",1,hard
Literature,"Кто написал роман ""Капитанская дочка""?",,"[""Николай Гоголь"", ""Александр Пушкин"", ""Иван Тургенев"", ""Федор Достоевский""]",1,medium
Literature,"Кто написал роман ""Дубровский""?",,"[""Николай Гоголь"", ""Александр Пушкин"", ""Иван Тургенев"", ""Федор Достоевский""]",1,hard
Literature,"Кто написал роман ""Пиковая дама""?",,"[""Николай Гоголь"", ""Александр Пушкин"", ""Иван Тургенев"", ""Федор Достоевский""]",1,medium
Literature,"Кто написал роман ""Собачье сердце""?",,"[""Михаил Булгаков"", ""Александр Пушкин"", ""Иван Тургенев"", ""Федор Достоевский""]",0,medium
Literature,"Кто написал роман ""Белая гвардия""?",,"[""Александр Пушкин"", ""Михаил Булгаков"", ""Иван Тургенев"", ""Федор Достоевский""]",1,hard
Literature,"Кто написал роман ""Роковые яйца""?",,"[""Александр Пушкин"", ""Михаил Булгаков"", ""Иван Тургенев"", ""Федор Достоевский""]",1,hard
Literature,"Кто написал роман ""Собака Баскервилей""?",,"[""Агата Кристи"", ""Артур Конан Дойл"", ""Эдгар Аллан По"", ""Рэймонд Чандлер""]",1,medium
Literature,"Кто написал роман ""Убийство в Восточном экспрессе""?",,"[""Артур Конан Дойл"", ""Агата Кристи"", ""Эдгар Аллан По"", ""Рэймонд Чандлер""]",1,medium
Literature,"Кто написал роман ""Война миров""?",,"[""Жюль Верн"", ""Герберт Уэллс"", ""Артур Конан Дойл"", ""Роберт Луис Стивенсон""]",1,hard
Literature,"Кто написал роман ""Двадцать тысяч лье под водой""?",,"[""Герберт Уэллс"", ""Жюль Верн"", ""Артур Конан Дойл"", ""Роберт Луис Стивенсон""]",1,medium
Literature,"Кто написал роман ""Остров сокровищ""?",,"[""Жюль Верн"", ""Роберт Луис Стивенсон"", ""Артур Конан Дойл"", ""Герберт Уэллс""]",1,medium
Literature,"Кто написал роман ""Странная история доктора Джекила и мистера Хайда""?",,"[""Жюль Верн"", ""Роберт Луис Стивенсон"", ""Артур Конан Дойл"", ""Герберт Уэллс""]",1,hard
