category,question_text,image_url,answers,correct_index,difficulty
Movies,"Какой фильм получил Оскар за лучший фильм в 2020 году?",,"[""1917"", ""Паразиты"", ""Джокер"", ""Однажды в Голливуде""]",1,medium
Movies,"Кто сыграл главную роль в фильме ""Форрест Гамп""?",,"[""Брэд Питт"", ""Том Хэнкс"", ""Леонардо ДиКаприо"", ""Мэтт Деймон""]",1,easy
Movies,"В каком году вышел фильм ""Титаник""?",,"[""1995"", ""1997"", ""1999"", ""2001""]",1,medium
Movies,"Какой фильм является самым кассовым в истории?",,"[""Титаник"", ""Аватар"", ""Мстители: Финал"", ""Звездные войны: Пробуждение силы""]",2,hard
Movies,"Кто режиссер фильма ""Криминальное чтиво""?",,"[""Мартин Скорсезе"", ""Квентин Тарантино"", ""Кристофер Нолан"", ""Дэвид Финчер""]",1,medium
Movies,"Какой актер сыграл Джокера в фильме 2019 года?",,"[""Хит Леджер"", ""Хоакин Феникс"", ""Джек Николсон"", ""Джаред Лето""]",1,medium
Movies,"В каком фильме звучит фраза ""Я буду возвращаться""?",,"[""Хищник"", ""Терминатор"", ""Коммандо"", ""Бегущий человек""]",1,easy
Movies,"Какой фильм выиграл больше всего Оскаров?",,"[""Титаник"", ""Бен-Гур"", ""Властелин колец: Возвращение короля"", ""Титаник и Бен-Гур""]",2,hard
Movies,"Кто сыграл Тони Старка в фильмах о Железном человеке?",,"[""Крис Эванс"", ""Роберт Дауни-младший"", ""Крис Хемсворт"", ""Марк Руффало""]",1,easy
Movies,"В каком году вышел первый фильм о Гарри Поттере?",,"[""1999"", ""2001"", ""2003"", ""2005""]",1,medium
Movies,"Какой фильм является продолжением ""Матрицы""?",,"[""Матрица: Перезагрузка"", ""Матрица: Революция"", ""Матрица: Воскрешение"", ""Все вышеперечисленные""]",3,hard
Movies,"Кто режиссер фильма ""Начало""?",,"[""Кристофер Нолан"", ""Дэвид Финчер"", ""Дени Вильнёв"", ""Ридли Скотт""]",0,medium
Movies,"В каком фильме звучит песня ""My Heart Will Go On""?",,"[""Титаник"", ""Призрак оперы"", ""Мулен Руж"", ""Чикаго""]",0,easy
Movies,"Какой актер сыграл Джеймса Бонда в фильме ""Казино Рояль"" (2006)?",,"[""Пирс Броснан"", ""Дэниел Крейг"", ""Шон Коннери"", ""Тимоти Далтон""]",1,medium
Movies,"В каком году вышел фильм ""Крестный отец""?",,"[""1970"", ""1972"", ""1974"", ""1976""]",1,hard
Movies,"Кто сыграл главную роль в фильме ""Бойцовский клуб""?",,"[""Брэд Питт"", ""Эдвард Нортон"", ""Кристиан Бейл"", ""Мэтт Деймон""]",1,medium
