category,question_text,image_url,answers,correct_index,difficulty
Food,"Из какой страны происходит пицца?",,"[""Франция"", ""Италия"", ""Испания"", ""Греция""]",1,easy
Food,"Какой овощ является основным ингредиентом гуакамоле?",,"[""Помидор"", ""Авокадо"", ""Огурец"", ""Перец""]",1,medium
Food,"Из какой страны происходит суши?",,"[""Китай"", ""Япония"", ""Корея"", ""Таиланд""]",1,easy
Food,"Какой сыр используется для приготовления пиццы Маргарита?",,"[""Пармезан"", ""Моцарелла"", ""Чеддер"", ""Горгонзола""]",1,medium
Food,"Из какой страны происходит паэлья?",,"[""Италия"", ""Испания"", ""Франция"", ""Португалия""]",1,medium
Food,"Какой фрукт является основным ингредиентом лимонада?",,"[""Апельсин"", ""Лимон"", ""Лайм"", ""Грейпфрут""]",1,easy
Food,"Из какой страны происходит кимчи?",,"[""Китай"", ""Япония"", ""Корея"", ""Таиланд""]",2,medium
Food,"Какой овощ является основным ингредиентом хумуса?",,"[""Нут"", ""Чечевица"", ""Фасоль"", ""Горох""]",0,medium
Food,"Из какой страны происходит пад тай?",,"[""Вьетнам"", ""Таиланд"", ""Камбоджа"", ""Лаос""]",1,medium
Food,"Какой сыр используется для приготовления фондю?",,"[""Моцарелла"", ""Грюйер"", ""Чеддер"", ""Пармезан""]",1,hard
Food,"Из какой страны происходит гуляш?",,"[""Польша"", ""Венгрия"", ""Чехия"", ""Австрия""]",1,hard
Food,"Какой фрукт является основным ингредиентом мармелада?",,"[""Яблоко"", ""Апельсин"", ""Лимон"", ""Грейпфрут""]",1,hard
Food,"Из какой страны происходит кебаб?",,"[""Греция"", ""Турция"", ""Ливан"", ""Иран""]",1,medium
Food,"Какой овощ является основным ингредиентом табуле?",,"[""Помидор"", ""Булгур"", ""Рис"", ""Кускус""]",1,hard
Food,"Из какой страны происходит рамен?",,"[""Китай"", ""Япония"", ""Корея"", ""Вьетнам""]",1,medium
Food,"Какой сыр используется для приготовления лазаньи?",,"[""Моцарелла"", ""Рикотта"", ""Пармезан"", ""Все вышеперечисленные""]",3,medium
Food,"Из какой страны происходит фалафель?",,"[""Греция"", ""Турция"", ""Ливан"", ""Израиль""]",2,hard
Food,"Какой фрукт является основным ингредиентом мохито?",,"[""Лимон"", ""Лайм"", ""Апельсин"", ""Грейпфрут""]",1,medium
Food,"Из какой страны происходит тако?",,"[""Испания"", ""Мексика"", ""Колумбия"", ""Венесуэла""]",1,medium
Food,"Какой овощ является основным ингредиентом гаспачо?",,"[""Огурец"", ""Помидор"", ""Перец"", ""Лук""]",1,medium
Food,"Из какой страны происходит борщ?",,"[""Польша"", ""Россия"", ""Украина"", ""Беларусь""]",2,medium
Food,"Какой сыр используется для приготовления капрезе?",,"[""Пармезан"", ""Моцарелла"", ""Чеддер"", ""Горгонзола""]",1,medium
Food,"Из какой страны происходит фо?",,"[""Таиланд"", ""Вьетнам"", ""Камбоджа"", ""Лаос""]",1,medium
Food,"Какой фрукт является основным ингредиентом сальсы?",,"[""Ананас"", ""Помидор"", ""Манго"", ""Авокадо""]",1,hard
Food,"Из какой страны происходит цукини?",,"[""Италия"", ""Испания"", ""Франция"", ""Греция""]",0,hard
Food,"Какой овощ является основным ингредиентом баба гануш?",,"[""Баклажан"", ""Кабачок"", ""Перец"", ""Помидор""]",0,hard
Food,"Из какой страны происходит карри?",,"[""Таиланд"", ""Индия"", ""Вьетнам"", ""Индонезия""]",1,medium
Food,"Какой сыр используется для приготовления качотты?",,"[""Моцарелла"", ""Качотта"", ""Пармезан"", ""Чеддер""]",1,hard
Food,"Из какой страны происходит буррито?",,"[""Испания"", ""Мексика"", ""Колумбия"", ""Венесуэла""]",1,medium
Food,"Какой фрукт является основным ингредиентом цезаря?",,"[""Помидор"", ""Авокадо"", ""Ананас"", ""Манго""]",0,hard
Food,"Из какой страны происходит моле?",,"[""Испания"", ""Мексика"", ""Колумбия"", ""Венесуэла""]",1,hard
Food,"Какой овощ является основным ингредиентом рататуя?",,"[""Баклажан"", ""Кабачок"", ""Помидор"", ""Все вышеперечисленные""]",3,hard
Food,"Из какой страны происходит крок-месье?",,"[""Бельгия"", ""Франция"", ""Швейцария"", ""Нидерланды""]",1,hard
Food,"Какой сыр используется для приготовления фондю по-швейцарски?",,"[""Грюйер и Эмменталь"", ""Моцарелла"", ""Чеддер"", ""Пармезан""]",0,hard
Food,"Из какой страны происходит джамбалайя?",,"[""Испания"", ""США (Луизиана)"", ""Мексика"", ""Куба""]",1,hard
Food,"Какой фрукт является основным ингредиентом мартини?",,"[""Лимон"", ""Оливка"", ""Лайм"", ""Апельсин""]",1,hard
Food,"Из какой страны происходит цыпленок тикка масала?",,"[""Индия"", ""Пакистан"", ""Бангладеш"", ""Великобритания""]",3,hard
Food,"Какой овощ является основным ингредиентом мисо-супа?",,"[""Морковь"", ""Лук"", ""Соевые бобы"", ""Капуста""]",2,hard
Food,"Из какой страны происходит пад тай?",,"[""Вьетнам"", ""Таиланд"", ""Камбоджа"", ""Лаос""]",1,medium
Food,"Какой сыр используется для приготовления пиццы Четыре сыра?",,"[""Моцарелла, Горгонзола, Пармезан, Рикотта"", ""Чеддер, Моцарелла, Пармезан, Грюйер"", ""Моцарелла, Горгонзола, Пармезан, Пекорино"", ""Все вышеперечисленные""]",2,hard
Food,"Из какой страны происходит кимбап?",,"[""Китай"", ""Япония"", ""Корея"", ""Таиланд""]",2,hard
Food,"Какой фрукт является основным ингредиентом пад тай?",,"[""Ананас"", ""Лайм"", ""Манго"", ""Кокос""]",1,hard
Food,"Из какой страны происходит бобот?",,"[""Индонезия"", ""Малайзия"", ""Таиланд"", ""Вьетнам""]",0,hard
Food,"Какой овощ является основным ингредиентом салата Нисуаз?",,"[""Помидор"", ""Огурец"", ""Перец"", ""Лук""]",0,hard
Food,"Из какой страны происходит брускетта?",,"[""Испания"", ""Италия"", ""Франция"", ""Греция""]",1,medium
Food,"Какой сыр используется для приготовления пиццы Пепперони?",,"[""Моцарелла"", ""Чеддер"", ""Пармезан"", ""Горгонзола""]",0,medium
Food,"Из какой страны происходит сашими?",,"[""Китай"", ""Япония"", ""Корея"", ""Таиланд""]",1,medium
Food,"Какой фрукт является основным ингредиентом сальсы верде?",,"[""Помидор"", ""Томатильо"", ""Перец"", ""Лук""]",1,hard
Food,"Из какой страны происходит бургер?",,"[""Великобритания"", ""США"", ""Германия"", ""Франция""]",1,medium
Food,"Какой овощ является основным ингредиентом табуле?",,"[""Помидор"", ""Булгур"", ""Огурец"", ""Перец""]",1,hard
Food,"Из какой страны происходит рататуй?",,"[""Испания"", ""Италия"", ""Франция"", ""Греция""]",2,medium
Food,"Какой сыр используется для приготовления пиццы Каприччоза?",,"[""Моцарелла"", ""Горгонзола"", ""Пармезан"", ""Рикотта""]",0,hard
Food,"Из какой страны происходит том ям?",,"[""Вьетнам"", ""Таиланд"", ""Камбоджа"", ""Лаос""]",1,hard
Food,"Какой фрукт является основным ингредиентом маргариты?",,"[""Лимон"", ""Лайм"", ""Апельсин"", ""Грейпфрут""]",1,medium
Food,"Из какой страны происходит эмпанада?",,"[""Испания"", ""Мексика"", ""Аргентина"", ""Все вышеперечисленные""]",3,hard
Food,"Какой овощ является основным ингредиентом гаспачо?",,"[""Огурец"", ""Помидор"", ""Перец"", ""Лук""]",1,medium
