category,question_text,image_url,answers,correct_index,difficulty
Geography,"Какая самая большая страна в мире по площади?",,"[""Канада"", ""Россия"", ""Китай"", ""США""]",1,easy
Geography,"Какая самая длинная река в мире?",,"[""Амазонка"", ""Нил"", ""Янцзы"", ""Миссисипи""]",1,medium
Geography,"Какая самая высокая гора в мире?",,"[""К2"", ""Эверест"", ""Килиманджаро"", ""Монблан""]",1,easy
Geography,"В каком океане находится Гавайский архипелаг?",,"[""Атлантический"", ""Тихий"", ""Индийский"", ""Северный Ледовитый""]",1,medium
Geography,"Какая столица Австралии?",,"[""Сидней"", ""Мельбурн"", ""Канберра"", ""Брисбен""]",2,medium
Geography,"Сколько континентов на Земле?",,"[""5"", ""6"", ""7"", ""8""]",2,medium
Geography,"Какая самая большая пустыня в мире?",,"[""Гоби"", ""Сахара"", ""Аравийская"", ""Антарктическая""]",3,hard
Geography,"Какая столица Бразилии?",,"[""Рио-де-Жанейро"", ""Сан-Паулу"", ""Бразилиа"", ""Сальвадор""]",2,medium
Geography,"В какой стране находится гора Килиманджаро?",,"[""Кения"", ""Танзания"", ""Уганда"", ""Эфиопия""]",1,medium
Geography,"Какая самая маленькая страна в мире?",,"[""Монако"", ""Ватикан"", ""Сан-Марино"", ""Лихтенштейн""]",1,medium
Geography,"Какая столица Канады?",,"[""Торонто"", ""Ванкувер"", ""Оттава"", ""Монреаль""]",2,medium
Geography,"В каком океане находится Мадагаскар?",,"[""Атлантический"", ""Индийский"", ""Тихий"", ""Южный""]",1,medium
Geography,"Какая самая большая страна в Африке по площади?",,"[""Нигерия"", ""Египет"", ""Алжир"", ""Судан""]",2,hard
Geography,"Какая столица Новой Зеландии?",,"[""Окленд"", ""Веллингтон"", ""Крайстчерч"", ""Данидин""]",1,medium
Geography,"Сколько штатов в США?",,"[""48"", ""50"", ""52"", ""54""]",1,easy
Geography,"Какая самая длинная река в Европе?",,"[""Дунай"", ""Волга"", ""Днепр"", ""Рейн""]",1,hard
Geography,"В какой стране находится озеро Байкал?",,"[""Монголия"", ""Россия"", ""Китай"", ""Казахстан""]",1,medium
Geography,"Какая столица Южной Кореи?",,"[""Пусан"", ""Сеул"", ""Инчхон"", ""Тэгу""]",1,medium
Geography,"Какая самая большая страна в Южной Америке по площади?",,"[""Аргентина"", ""Бразилия"", ""Перу"", ""Колумбия""]",1,medium
Geography,"В каком океане находится Мальдивы?",,"[""Атлантический"", ""Тихий"", ""Индийский"", ""Южный""]",2,medium
Geography,"Какая столица Турции?",,"[""Стамбул"", ""Анкара"", ""Измир"", ""Бурса""]",1,medium
Geography,"Какая самая высокая гора в Африке?",,"[""Килиманджаро"", ""Кения"", ""Эльбрус"", ""Монблан""]",0,medium
Geography,"В какой стране находится пустыня Атакама?",,"[""Перу"", ""Чили"", ""Боливия"", ""Аргентина""]",1,hard
Geography,"Какая столица Египта?",,"[""Александрия"", ""Каир"", ""Гиза"", ""Луксор""]",1,medium
Geography,"Сколько стран граничат с Россией?",,"[""12"", ""14"", ""16"", ""18""]",1,hard
Geography,"Какая самая большая страна в Европе по площади?",,"[""Германия"", ""Франция"", ""Украина"", ""Россия""]",3,medium
Geography,"В каком океане находится Япония?",,"[""Атлантический"", ""Тихий"", ""Индийский"", ""Северный Ледовитый""]",1,medium
Geography,"Какая столица Аргентины?",,"[""Буэнос-Айрес"", ""Кордова"", ""Росарио"", ""Мендоса""]",0,medium
Geography,"Какая самая длинная река в Африке?",,"[""Конго"", ""Нил"", ""Нигер"", ""Замбези""]",1,medium
Geography,"В какой стране находится гора Фудзияма?",,"[""Китай"", ""Япония"", ""Южная Корея"", ""Тайвань""]",1,medium
Geography,"Какая столица Индонезии?",,"[""Джакарта"", ""Бандунг"", ""Сурабая"", ""Медан""]",0,medium
Geography,"Какая самая большая страна в Азии по площади?",,"[""Индия"", ""Китай"", ""Россия"", ""Казахстан""]",2,hard
Geography,"В каком океане находится Исландия?",,"[""Атлантический"", ""Тихий"", ""Северный Ледовитый"", ""Южный""]",0,medium
Geography,"Какая столица Таиланда?",,"[""Пхукет"", ""Бангкок"", ""Чиангмай"", ""Паттайя""]",1,medium
Geography,"Какая самая высокая гора в Европе?",,"[""Монблан"", ""Эльбрус"", ""Маттерхорн"", ""Монте-Роза""]",1,hard
Geography,"В какой стране находится озеро Титикака?",,"[""Перу и Боливия"", ""Чили и Аргентина"", ""Колумбия и Эквадор"", ""Бразилия и Парагвай""]",0,hard
Geography,"Какая столица ЮАР?",,"[""Йоханнесбург"", ""Кейптаун"", ""Претория"", ""Дурбан""]",2,hard
Geography,"Сколько стран входят в состав Великобритании?",,"[""2"", ""3"", ""4"", ""5""]",2,medium
Geography,"Какая самая большая страна в Океании?",,"[""Новая Зеландия"", ""Австралия"", ""Папуа - Новая Гвинея"", ""Фиджи""]",1,medium
Geography,"В каком океане находится Филиппины?",,"[""Атлантический"", ""Тихий"", ""Индийский"", ""Южный""]",1,medium
Geography,"Какая столица Мексики?",,"[""Гвадалахара"", ""Мехико"", ""Монтеррей"", ""Пуэбла""]",1,medium
Geography,"Какая самая длинная река в Азии?",,"[""Янцзы"", ""Хуанхэ"", ""Меконг"", ""Ганг""]",0,hard
Geography,"В какой стране находится гора Эверест?",,"[""Непал и Китай"", ""Индия и Непал"", ""Бутан и Китай"", ""Тибет""]",0,medium
Geography,"Какая столица Марокко?",,"[""Касабланка"", ""Рабат"", ""Марракеш"", ""Фес""]",1,hard
Geography,"Какая самая большая страна в Северной Америке по площади?",,"[""США"", ""Канада"", ""Мексика"", ""Гренландия""]",1,medium
